id,latitude,longitude,scientific,university
214961467,25.02617297,121.5262861,Lilium,NTNU
214961568,25.0262404,121.5261953,Rivina humilis,NTNU
215874197,25.02544717,121.5275717,Endotricha mesenterialis,NTNU
222206649,25.02609519,121.5250351,Talinum paniculatum,NTNU
737631,25.019448,121.537451,Gallinula chloropus,NTU
737633,25.019351,121.537521,Gallinula chloropus,NTU
737636,25.019487,121.537398,Gallinula chloropus,NTU
737650,25.019847,121.53758,Egretta garzetta,NTU
739241,25.01966,121.537846,Nycticorax nycticorax,NTU
760673,25.019769,121.537695,Pseudozizeeria maha okinawana,NTU
760674,25.019856,121.53759,Orthetrum pruinosum neglectum,NTU
760675,25.019823,121.537803,Gallinula chloropus,NTU
760676,25.020702,121.537806,Sinictinogomphus clavatus,NTU
760677,25.020823,121.537742,Cygnus atratus,NTU
760678,25.020971,121.53762,Passer montanus,NTU
760679,25.020959,121.537574,Diploderma swinhonis,NTU
760680,25.019767,121.5377,Gallinula chloropus,NTU
2971883,25.015968,121.539578,Trachemys scripta elegans,NTU
2971884,25.016123,121.539846,Anas platyrhynchos,NTU
2981324,25.01636602,121.5400621,Anatidae,NTU
2981325,25.01549339,121.5410995,Pieris rapae crucivora,NTU
3149783,25.01370555,121.5374,Spiranthes sinensis,NTU
3156329,25.015358,121.53926,Broussonetia papyrifera,NTU
3187348,25.016741,121.539466,Triadica sebifera,NTU
4340939,25.01478333,121.5360694,Polypodiopsida,NTU
4580951,25.02016246,121.5365124,Columba livia domestica,NTU
4580952,25.02016246,121.5365124,Gallinula chloropus,NTU
4580953,25.02016246,121.5365124,Cygnus atratus,NTU
4580955,25.02016246,121.5365124,Anas platyrhynchos ? cairina moschata,NTU
4580956,25.02016246,121.5365124,Anas platyrhynchos,NTU
4580957,25.02016246,121.5365124,Anser cygnoides domesticus,NTU
4580958,25.02016246,121.5365124,Pica serica,NTU
4580959,25.02016246,121.5365124,Passer montanus,NTU
4580961,25.02016246,121.5365124,Anatidae,NTU
4580963,25.02016246,121.5365124,Terminalia catappa,NTU
4580964,25.02016246,121.5365124,Ficus microcarpa,NTU
4580965,25.02016246,121.5365124,Cinnamomum camphora,NTU
4614892,25.01599,121.539519,Cairina moschata domestica,NTU
4614893,25.016049,121.539755,Nycticorax nycticorax,NTU
4614894,25.016257,121.540082,Trachemys scripta elegans,NTU
4614895,25.016303,121.540469,Pycnonotus sinensis formosae,NTU
4614896,25.016135,121.539728,Oreochromis,NTU
4614897,25.015923,121.539388,Anas platyrhynchos domesticus,NTU
4614928,25.015924,121.539534,Gallinula chloropus,NTU
4614929,25.016028,121.539759,Trachemys scripta elegans,NTU
4614930,25.017283,121.536086,Arecoideae,NTU
4614931,25.016122,121.539457,Dendrocitta formosae,NTU
4857116,25.016065,121.539739,Nycticorax nycticorax,NTU
4857117,25.016415,121.540638,Diploderma swinhonis,NTU
8476117,25.0160585,121.539151,Zosterops simplex,NTU
8476118,25.01606791,121.5395392,Nycticorax nycticorax,NTU
8476120,25.01613688,121.5399644,Nycticorax nycticorax,NTU
8476121,25.01610377,121.5401039,Amaurornis phoenicurus,NTU
8476122,25.01628697,121.5400328,Pycnonotus sinensis formosae,NTU
