id,latitude,longitude,scientific_name
17179198,25.0235881805,121.5284118652,Cinnamomum camphora
17179209,25.0235881805,121.5284118652,Sphagneticola trilobata
17179222,25.0234069824,121.5283432007,Ficus microcarpa
17179252,25.02383442,121.52838757,Codiaeum variegatum pictum
17179263,25.02372827,121.52841432,Codiaeum variegatum
17179274,25.02372885,121.52840542,Alstonia scholaris
17179291,25.02329298,121.52834258,Plumeria obtusa
17186840,25.0231189728,121.5282058716,Ixora coccinea
17211030,25.0128026944,121.5387126944,Macaranga tanarius
17211031,25.0130644722,121.538937,Lissachatina fulica
17211032,25.0131773889,121.5392013889,Broussonetia papyrifera
17211033,25.0130818889,121.5389383889,Morus indica
17211034,25.0130316944,121.5391587778,Oxalis corniculata
17211035,25.0130316944,121.5391587778,Bidens alba
17211037,25.0130316944,121.5391587778,Erigeron sumatrensis
